"","sci_name","taxonid","kingdom","phylum","class","order","family","genus","main_common_name","authority","disp_dist_m"
"388","Stenosepala hirsuta",176006626,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE","Stenosepala",NA,"C.H.Perss.",1000
"389","Sterculia apetala",61787794,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE","Sterculia","Panama tree","(Jacq.) H.Karst.",1000
"390","Sterculia colombiana",145658498,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE","Sterculia",NA,"Sprague",1000
"391","Styloceras laurifolium",215000211,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","BUXALES","BUXACEAE","Styloceras","Cachitos","(Willd.) Kunth",300
"392","Stylogyne longifolia",180055498,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","PRIMULACEAE","Stylogyne",NA,"(Mart. ex Miq.) Mez",1000
"393","Stylogyne micrantha",180055530,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","PRIMULACEAE","Stylogyne",NA,"(Kunth) Mez",1000
"394","Stylogyne turbacensis",146767045,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ERICALES","PRIMULACEAE","Stylogyne",NA,"(Kunth) Mez",1000
"395","Swartzia pittieri",205717099,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Swartzia",NA,"Schery",1000
"396","Swartzia simplex",19891498,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Swartzia",NA,"(Sw.) Spreng.",1000
"397","Swartzia trianae",170269395,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Swartzia",NA,"Benth.",1000
"398","Tabernaemontana amygdalifolia",135866221,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","APOCYNACEAE","Tabernaemontana",NA,"Jacq.",300
"399","Tabernaemontana cymosa",180065182,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","APOCYNACEAE","Tabernaemontana",NA,"Jacq.",300
"400","Tabernaemontana grandiflora",151967717,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","APOCYNACEAE","Tabernaemontana",NA,"Jacq.",300
"401","Tabernaemontana markgrafiana",149997627,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","APOCYNACEAE","Tabernaemontana",NA,"J.F.Macbr.",300
