"sp","ssp","habitat","big_habitat","connect","time_periods"
"Coendou.pruinosus","ssp126",1,1,1,"2041-2060"
"Coendou.pruinosus","ssp126",1,1,1,"2061-2080"
"Coendou.pruinosus","ssp126",1,1,1,"2081-2100"
"Coendou.quichua","ssp126",1,1,1,"1970-2000"
"Coendou.quichua","ssp126",1,1,1,"2021-2040"
"Coendou.quichua","ssp126",1,1,1,"2041-2060"
"Coendou.quichua","ssp126",1,1,1,"2061-2080"
"Coendou.quichua","ssp126",1,1,1,"2081-2100"
"Coendou.rufescens","ssp126",1,1,1,"1970-2000"
"Coendou.rufescens","ssp126",1,1,1,"2021-2040"
"Coendou.rufescens","ssp126",1,1,1,"2041-2060"
"Coendou.rufescens","ssp126",1,1,1,"2061-2080"
"Coendou.rufescens","ssp126",1,1,1,"2081-2100"
"Coendou.vestitus","ssp126",1,1,1,"1970-2000"
"Coendou.vestitus","ssp126",1,1,1,"2021-2040"
"Coendou.vestitus","ssp126",1,1,1,"2041-2060"
"Coendou.vestitus","ssp126",1,1,1,"2061-2080"
"Coendou.vestitus","ssp126",1,1,1,"2081-2100"
"Conepatus.semistriatus","ssp126",1,1,1,"1970-2000"
"Conepatus.semistriatus","ssp126",1,1,1,"2021-2040"
"Conepatus.semistriatus","ssp126",1,1,1,"2041-2060"
"Conepatus.semistriatus","ssp126",1,1,1,"2061-2080"
"Conepatus.semistriatus","ssp126",1,1,1,"2081-2100"
"Cryptotis.colombianus","ssp126",1,1,1,"1970-2000"
"Cryptotis.colombianus","ssp126",1,1,1,"2021-2040"
"Cryptotis.colombianus","ssp126",1,1,1,"2041-2060"
"Cryptotis.colombianus","ssp126",1,1,1,"2061-2080"
"Cryptotis.colombianus","ssp126",1,1,1,"2081-2100"
"Cryptotis.thomasi","ssp126",1,1,1,"1970-2000"
"Cryptotis.thomasi","ssp126",1,1,1,"2021-2040"
"Cryptotis.thomasi","ssp126",1,1,1,"2041-2060"
"Cryptotis.thomasi","ssp126",1,1,1,"2061-2080"
"Cryptotis.thomasi","ssp126",1,1,1,"2081-2100"
"Cuniculus.paca","ssp126",1,1,1,"1970-2000"
"Cuniculus.paca","ssp126",1,1,1,"2021-2040"
"Cuniculus.paca","ssp126",1,1,1,"2041-2060"
"Cuniculus.paca","ssp126",1,1,1,"2061-2080"
"Cuniculus.paca","ssp126",1,1,1,"2081-2100"
"Cuniculus.taczanowskii","ssp126",1,1,1,"1970-2000"
"Cuniculus.taczanowskii","ssp126",1,1,1,"2021-2040"
"Cuniculus.taczanowskii","ssp126",1,1,1,"2041-2060"
"Cuniculus.taczanowskii","ssp126",1,1,1,"2061-2080"
"Cuniculus.taczanowskii","ssp126",1,1,1,"2081-2100"
"Cyclopes.didactylus","ssp126",1,1,1,"1970-2000"
"Cyclopes.didactylus","ssp126",1,1,1,"2021-2040"
"Cyclopes.didactylus","ssp126",1,1,1,"2041-2060"
"Cyclopes.didactylus","ssp126",1,1,1,"2061-2080"
"Cyclopes.didactylus","ssp126",1,1,1,"2081-2100"
"Cyclopes.dorsalis","ssp126",1,1,1,"1970-2000"
"Cyclopes.dorsalis","ssp126",1,1,1,"2021-2040"
"Cyclopes.dorsalis","ssp126",1,1,1,"2041-2060"
"Cyclopes.dorsalis","ssp126",1,1,1,"2061-2080"
"Cyclopes.dorsalis","ssp126",1,1,1,"2081-2100"
"Cyclopes.ida","ssp126",1,1,1,"1970-2000"
"Cyclopes.ida","ssp126",1,1,1,"2021-2040"
"Cyclopes.ida","ssp126",1,1,1,"2041-2060"
"Cyclopes.ida","ssp126",1,1,1,"2061-2080"
"Cyclopes.ida","ssp126",1,1,1,"2081-2100"
"Dactylomys.dactylinus","ssp126",1,1,1,"1970-2000"
"Dactylomys.dactylinus","ssp126",1,1,1,"2021-2040"
"Dactylomys.dactylinus","ssp126",1,1,1,"2041-2060"
"Dactylomys.dactylinus","ssp126",1,1,1,"2061-2080"
"Dactylomys.dactylinus","ssp126",1,1,1,"2081-2100"
"Dasyprocta.fuliginosa","ssp126",1,1,1,"1970-2000"
"Dasyprocta.fuliginosa","ssp126",1,1,1,"2021-2040"
"Dasyprocta.fuliginosa","ssp126",1,1,1,"2041-2060"
"Dasyprocta.fuliginosa","ssp126",1,1,1,"2061-2080"
"Dasyprocta.fuliginosa","ssp126",1,1,1,"2081-2100"
"Dasyprocta.punctata","ssp126",1,1,1,"1970-2000"
"Dasyprocta.punctata","ssp126",1,1,1,"2021-2040"
"Dasyprocta.punctata","ssp126",1,1,1,"2041-2060"
"Dasyprocta.punctata","ssp126",1,1,1,"2061-2080"
"Dasyprocta.punctata","ssp126",1,1,1,"2081-2100"
"Dasypus.kappleri","ssp126",1,1,1,"1970-2000"
"Dasypus.kappleri","ssp126",1,1,1,"2021-2040"
"Dasypus.kappleri","ssp126",1,1,1,"2041-2060"
"Dasypus.kappleri","ssp126",1,1,1,"2061-2080"
"Dasypus.kappleri","ssp126",1,1,1,"2081-2100"
"Dasypus.novemcinctus","ssp126",1,1,1,"1970-2000"
"Dasypus.novemcinctus","ssp126",1,1,1,"2021-2040"
"Dasypus.novemcinctus","ssp126",1,1,1,"2041-2060"
"Dasypus.novemcinctus","ssp126",1,1,1,"2061-2080"
"Dasypus.novemcinctus","ssp126",1,1,1,"2081-2100"
"Dasypus.pastasae","ssp126",1,1,1,"1970-2000"
"Dasypus.pastasae","ssp126",1,1,1,"2021-2040"
"Dasypus.pastasae","ssp126",1,1,1,"2041-2060"
"Dasypus.pastasae","ssp126",1,1,1,"2061-2080"
"Dasypus.pastasae","ssp126",1,1,1,"2081-2100"
"Dasypus.sabanicola","ssp126",1,1,1,"1970-2000"
"Dasypus.sabanicola","ssp126",1,1,1,"2021-2040"
"Dasypus.sabanicola","ssp126",1,1,1,"2041-2060"
"Dasypus.sabanicola","ssp126",1,1,1,"2061-2080"
"Dasypus.sabanicola","ssp126",1,1,1,"2081-2100"
"Desmodus.rotundus","ssp126",1,1,1,"1970-2000"
"Desmodus.rotundus","ssp126",1,1,1,"2021-2040"
"Desmodus.rotundus","ssp126",1,1,1,"2041-2060"
"Desmodus.rotundus","ssp126",1,1,1,"2061-2080"
"Desmodus.rotundus","ssp126",1,1,1,"2081-2100"
"Dicotyles.tajacu","ssp126",1,1,1,"1970-2000"
"Dicotyles.tajacu","ssp126",1,1,1,"2021-2040"
"Dicotyles.tajacu","ssp126",1,1,1,"2041-2060"
"Dicotyles.tajacu","ssp126",1,1,1,"2061-2080"
"Dicotyles.tajacu","ssp126",1,1,1,"2081-2100"
"Didelphis.marsupialis","ssp126",1,1,1,"1970-2000"
"Didelphis.marsupialis","ssp126",1,1,1,"2021-2040"
"Didelphis.marsupialis","ssp126",1,1,1,"2041-2060"
"Didelphis.marsupialis","ssp126",1,1,1,"2061-2080"
"Didelphis.marsupialis","ssp126",1,1,1,"2081-2100"
"Didelphis.pernigra","ssp126",1,1,1,"1970-2000"
"Didelphis.pernigra","ssp126",1,1,1,"2021-2040"
"Didelphis.pernigra","ssp126",1,1,1,"2041-2060"
"Didelphis.pernigra","ssp126",1,1,1,"2061-2080"
"Didelphis.pernigra","ssp126",1,1,1,"2081-2100"
"Dinomys.branickii","ssp126",1,1,1,"1970-2000"
"Dinomys.branickii","ssp126",1,1,1,"2021-2040"
"Dinomys.branickii","ssp126",1,1,1,"2041-2060"
"Dinomys.branickii","ssp126",1,1,1,"2061-2080"
"Dinomys.branickii","ssp126",1,1,1,"2081-2100"
"Diphylla.ecaudata","ssp126",1,1,1,"1970-2000"
"Diphylla.ecaudata","ssp126",1,1,1,"2021-2040"
"Diphylla.ecaudata","ssp126",1,1,1,"2041-2060"
"Diphylla.ecaudata","ssp126",1,1,1,"2061-2080"
"Diphylla.ecaudata","ssp126",1,1,1,"2081-2100"
"Eira.barbara","ssp126",1,1,1,"1970-2000"
"Eira.barbara","ssp126",1,1,1,"2021-2040"
"Eira.barbara","ssp126",1,1,1,"2041-2060"
"Eira.barbara","ssp126",1,1,1,"2061-2080"
"Eira.barbara","ssp126",1,1,1,"2081-2100"
"Enchisthenes.hartii","ssp126",1,1,1,"1970-2000"
"Enchisthenes.hartii","ssp126",1,1,1,"2021-2040"
"Enchisthenes.hartii","ssp126",1,1,1,"2041-2060"
"Enchisthenes.hartii","ssp126",1,1,1,"2061-2080"
"Enchisthenes.hartii","ssp126",1,1,1,"2081-2100"
