"species","ssp","aoi_area","cur_area","fut_area","IoU"
"Phylloderma.stenops","ssp585",4161458.63080144,4127299.51559043,3779741.12236363,89.3459046763639
"Micronycteris.megalotis","ssp585",5148750.32652451,4121524.27325863,3607090.4401263,83.9931732023416
"Molossus.coibensis","ssp126",1955956.15487498,1495598.93022156,1218276.77868694,76.4073039843013
"Pithecia.monachus","ssp126",2207195.36086955,1208047.26379675,370412.280950546,27.7976837941421
"Metachirus.nudicaudatus","ssp585",3075058.2025309,3012909.42289466,2737919.3920576,77.6308392112292
"Pithecia.monachus","ssp585",2207195.36086955,1208047.26379675,522381.636492968,40.0575563229543
"Oecomys.bicolor","ssp126",4875815.53320985,3301609.36560738,1359375.33757293,40.3545704153995
"Molossus.coibensis","ssp585",1955956.15487498,1495598.93022156,1264192.08762121,79.2962670047827
"Microsciurus.flaviventer","ssp126",1408566.23478569,1281481.51341057,677086.477925479,44.3834272557687
"Platyrrhinus.umbratus","ssp126",3000252.68730932,3562250.43231821,3639467.57635641,97.8783395532952
"Oecomys.bicolor","ssp585",4875815.53320985,3301609.36560738,1416441.73782051,42.0228267701396
"Microsciurus.flaviventer","ssp585",1408566.23478569,1281481.51341057,753868.072335422,49.4562895603438
"Platyrrhinus.umbratus","ssp585",3000252.68730932,3562250.43231821,3639467.57635641,97.8783395532952
"Rattus.norvegicus","ssp126",3935697.70966375,529648.008417428,308441.89727211,56.3516299370237
"Molossops.temminckii","ssp126",1305783.75843027,1312510.47424257,955300.326751471,69.3487948046765
"Molossus.rufus","ssp126",2043871.21442626,1891480.42751402,1704803.70506322,83.268139557787
"Mustela.frenata","ssp126",4271518.30875259,760551.304548383,754059.389100194,80.2033179401683
"Molossus.rufus","ssp585",2043871.21442626,1891480.42751402,1648686.38736373,80.589650047295
"Procyon.cancrivorus","ssp126",2101060.92970356,648401.605256915,919354.851996243,43.6087995767253
"Mustela.frenata","ssp585",4271518.30875259,760551.304548383,770039.48745203,77.8031312169201
"Peropteryx.macrotis","ssp126",4241236.21624067,4045051.19087291,3784461.67815256,87.9302486100453
"Molossops.temminckii","ssp585",1305783.75843027,1312510.47424257,881031.059936285,63.9565066440684
"Procyon.cancrivorus","ssp585",2101060.92970356,648401.605256915,919912.850083411,40.5410028547167
"Rattus.norvegicus","ssp585",3935697.70966375,529648.008417428,319030.369555652,57.8981696673734
"Proechimys.semispinosus","ssp126",1715456.24539029,112142.728945434,102910.221233964,71.3970611439916
"Proechimys.semispinosus","ssp585",1715456.24539029,112142.728945434,107265.807422101,69.747277476204
"Peropteryx.macrotis","ssp585",4241236.21624067,4045051.19087291,3774099.44277918,86.9630442949185
"Myoprocta.pratti","ssp126",3970039.121412,2487255.59559721,1693413.22002804,67.2991758943244
"Myotis.nigricans","ssp126",5770148.29971747,4848995.60870343,4370759.59334171,89.2622965054321
"Rhogeessa.io","ssp126",868255.88657226,839135.68665117,462132.716436982,53.298223354361
"Pteronura.brasiliensis","ssp126",5419074.84580026,1025078.43316066,568423.684060991,47.8867006885747
"Myoprocta.pratti","ssp585",3970039.121412,2487255.59559721,1624123.2293874,64.5429950639689
"Pteronura.brasiliensis","ssp585",5419074.84580026,1025078.43316066,549835.113977134,43.3225766687977
"Rhogeessa.io","ssp585",868255.88657226,839135.68665117,419176.39863646,48.2017607882144
"Reithrodontomys.mexicanus","ssp126",503011.047730156,112537.542982817,106377.015825152,80.7196746659628
"Myotis.nigricans","ssp585",5770148.29971747,4848995.60870343,4358190.58569568,89.1538425053164
"Saguinus.inustus","ssp126",759157.677758835,468180.295661688,390420.733789146,73.6226553616154
"Reithrodontomys.mexicanus","ssp585",503011.047730156,112537.542982817,107059.522773266,81.2204770782695
"Saguinus.inustus","ssp585",759157.677758835,468180.295661688,373514.876713037,74.1883773018
"Phyllostomus.elongatus","ssp126",4071001.29053998,2599221.23595732,2307924.03106731,68.7604936617888
"Nasuella.olivacea","ssp126",546475.507493579,190420.224442661,204287.909771442,89.9380447046173
"Nasuella.olivacea","ssp585",546475.507493579,190420.224442661,212182.923288107,88.1915309900379
"Myotis.riparius","ssp126",5026254.25174484,2981517.23305339,1214532.39244086,40.6237973499236
